tanggal,stasiun,pm10,so2,co,o3,no2,categori
7/18/2020,DKI1 (Bunderan HI),55,21,7,54,15,SEDANG
7/19/2020,DKI1 (Bunderan HI),68,17,6,66,10,SEDANG
7/20/2020,DKI1 (Bunderan HI),66,16,8,77,12,SEDANG
7/21/2020,DKI1 (Bunderan HI),59,19,8,58,12,SEDANG
7/22/2020,DKI1 (Bunderan HI),56,16,6,49,15,SEDANG
7/23/2020,DKI1 (Bunderan HI),62,16,7,85,11,SEDANG
7/24/2020,DKI1 (Bunderan HI),60,18,7,56,13,SEDANG
7/25/2020,DKI1 (Bunderan HI),64,18,7,60,11,SEDANG
7/26/2020,DKI1 (Bunderan HI),59,19,5,45,10,SEDANG
7/27/2020,DKI1 (Bunderan HI),58,21,6,56,11,SEDANG
7/28/2020,DKI1 (Bunderan HI),68,20,7,89,14,SEDANG
7/29/2020,DKI1 (Bunderan HI),66,19,7,107,14,TIDAK SEHAT
7/30/2020,DKI1 (Bunderan HI),68,17,7,104,12,TIDAK SEHAT
7/31/2020,DKI1 (Bunderan HI),56,19,7,62,14,SEDANG
8/1/2020,DKI1 (Bunderan HI),65,18,7,84,13,SEDANG
8/2/2020,DKI1 (Bunderan HI),75,17,11,77,15,SEDANG
8/3/2020,DKI1 (Bunderan HI),71,18,9,65,11,SEDANG
8/4/2020,DKI1 (Bunderan HI),61,19,5,61,11,SEDANG
8/5/2020,DKI1 (Bunderan HI),67,20,7,70,12,SEDANG
8/6/2020,DKI1 (Bunderan HI),70,23,6,55,16,SEDANG
8/7/2020,DKI1 (Bunderan HI),65,19,6,72,12,SEDANG
8/8/2020,DKI1 (Bunderan HI),64,18,6,58,14,SEDANG
8/9/2020,DKI1 (Bunderan HI),54,15,6,65,12,SEDANG
8/10/2020,DKI1 (Bunderan HI),58,18,5,47,11,SEDANG
8/11/2020,DKI1 (Bunderan HI),60,20,5,34,10,SEDANG
8/12/2020,DKI1 (Bunderan HI),68,19,14,49,17,SEDANG
8/13/2020,DKI1 (Bunderan HI),53,16,7,41,12,SEDANG
8/14/2020,DKI1 (Bunderan HI),40,16,8,43,16,BAIK
8/15/2020,DKI1 (Bunderan HI),58,18,10,29,12,SEDANG
8/16/2020,DKI1 (Bunderan HI),50,19,4,44,10,BAIK
8/17/2020,DKI1 (Bunderan HI),52,16,7,52,10,SEDANG
8/18/2020,DKI1 (Bunderan HI),52,17,10,66,13,SEDANG
8/19/2020,DKI1 (Bunderan HI),65,18,15,39,18,SEDANG
8/20/2020,DKI1 (Bunderan HI),54,17,6,40,13,SEDANG
8/21/2020,DKI1 (Bunderan HI),46,18,3,41,9,BAIK
8/22/2020,DKI1 (Bunderan HI),58,21,5,42,11,SEDANG
8/23/2020,DKI1 (Bunderan HI),63,22,7,53,13,SEDANG
8/24/2020,DKI1 (Bunderan HI),55,18,5,44,11,SEDANG
8/25/2020,DKI1 (Bunderan HI),57,20,7,53,14,SEDANG
8/26/2020,DKI1 (Bunderan HI),52,20,5,66,11,SEDANG
8/27/2020,DKI1 (Bunderan HI),55,18,5,52,11,SEDANG
8/28/2020,DKI1 (Bunderan HI),57,19,5,48,16,SEDANG
8/29/2020,DKI1 (Bunderan HI),59,20,4,54,8,SEDANG
8/30/2020,DKI1 (Bunderan HI),56,19,4,58,6,SEDANG
8/31/2020,DKI1 (Bunderan HI),57,20,6,68,14,SEDANG
9/1/2020,DKI1 (Bunderan HI),63,20,6,60,11,SEDANG
9/2/2020,DKI1 (Bunderan HI),57,18,6,81,13,SEDANG
9/3/2020,DKI1 (Bunderan HI),58,18,8,65,13,SEDANG
9/4/2020,DKI1 (Bunderan HI),48,19,5,44,9,SEDANG
9/5/2020,DKI1 (Bunderan HI),50,17,5,88,12,SEDANG
9/6/2020,DKI1 (Bunderan HI),59,17,7,84,12,SEDANG
9/7/2020,DKI1 (Bunderan HI),---,23,6,64,12,SEDANG
9/8/2020,DKI1 (Bunderan HI),58,22,5,47,12,SEDANG
9/9/2020,DKI1 (Bunderan HI),56,22,4,39,9,SEDANG
9/10/2020,DKI1 (Bunderan HI),56,18,6,78,13,SEDANG
9/11/2020,DKI1 (Bunderan HI),68,18,7,70,22,SEDANG
9/12/2020,DKI1 (Bunderan HI),59,18,7,99,18,SEDANG
9/13/2020,DKI1 (Bunderan HI),60,18,7,86,11,SEDANG
9/14/2020,DKI1 (Bunderan HI),57,18,6,58,11,SEDANG
9/15/2020,DKI1 (Bunderan HI),55,16,6,69,12,SEDANG
9/16/2020,DKI1 (Bunderan HI),57,16,7,59,14,SEDANG
9/17/2020,DKI1 (Bunderan HI),45,18,4,49,10,SEDANG
9/18/2020,DKI1 (Bunderan HI),52,19,4,42,10,SEDANG
9/19/2020,DKI1 (Bunderan HI),60,22,5,68,11,SEDANG
9/20/2020,DKI1 (Bunderan HI),44,19,3,35,6,SEDANG
9/21/2020,DKI1 (Bunderan HI),46,18,8,64,9,SEDANG
9/22/2020,DKI1 (Bunderan HI),37,15,6,82,11,SEDANG
9/23/2020,DKI1 (Bunderan HI),54,20,7,78,12,SEDANG
9/24/2020,DKI1 (Bunderan HI),57,17,6,82,14,SEDANG
9/25/2020,DKI1 (Bunderan HI),62,19,6,65,11,SEDANG
9/26/2020,DKI1 (Bunderan HI),69,19,10,91,14,TIDAK SEHAT
9/27/2020,DKI1 (Bunderan HI),61,17,11,77,13,SEDANG
9/28/2020,DKI1 (Bunderan HI),42,16,5,70,10,SEDANG
9/29/2020,DKI1 (Bunderan HI),52,19,6,66,11,SEDANG
9/30/2020,DKI1 (Bunderan HI),55,19,6,47,11,SEDANG
10/1/2020,DKI1 (Bunderan HI),50,19,4,50,10,SEDANG
10/2/2020,DKI1 (Bunderan HI),53,22,6,69,12,SEDANG
10/3/2020,DKI1 (Bunderan HI),50,17,9,71,14,SEDANG
10/4/2020,DKI1 (Bunderan HI),53,18,8,75,16,SEDANG
10/5/2020,DKI1 (Bunderan HI),40,16,5,95,10,SEDANG
10/6/2020,DKI1 (Bunderan HI),42,17,5,70,11,SEDANG
10/7/2020,DKI1 (Bunderan HI),52,20,5,68,13,SEDANG
10/8/2020,DKI1 (Bunderan HI),46,20,5,83,11,SEDANG
10/9/2020,DKI1 (Bunderan HI),60,18,7,87,14,SEDANG
10/10/2020,DKI1 (Bunderan HI),53,17,7,60,11,SEDANG
10/11/2020,DKI1 (Bunderan HI),44,18,6,74,11,SEDANG
10/12/2020,DKI1 (Bunderan HI),57,19,7,86,16,SEDANG
10/13/2020,DKI1 (Bunderan HI),61,21,9,75,11,SEDANG
10/14/2020,DKI1 (Bunderan HI),63,18,8,63,20,SEDANG
10/15/2020,DKI1 (Bunderan HI),60,20,7,70,17,SEDANG
10/16/2020,DKI1 (Bunderan HI),56,19,7,76,20,SEDANG
10/17/2020,DKI1 (Bunderan HI),51,17,9,61,22,SEDANG
10/18/2020,DKI1 (Bunderan HI),50,16,7,51,14,SEDANG
10/19/2020,DKI1 (Bunderan HI),54,16,7,60,11,SEDANG
10/20/2020,DKI1 (Bunderan HI),54,18,11,43,15,SEDANG
10/21/2020,DKI1 (Bunderan HI),57,18,11,71,15,SEDANG
10/22/2020,DKI1 (Bunderan HI),48,17,10,44,13,SEDANG
10/23/2020,DKI1 (Bunderan HI),26,15,3,23,7,BAIK
10/24/2020,DKI1 (Bunderan HI),47,23,6,61,11,SEDANG
10/25/2020,DKI1 (Bunderan HI),39,17,7,48,11,SEDANG
10/26/2020,DKI1 (Bunderan HI),41,18,8,77,20,SEDANG
10/27/2020,DKI1 (Bunderan HI),40,16,9,77,15,SEDANG
10/28/2020,DKI1 (Bunderan HI),55,18,18,60,16,SEDANG
10/29/2020,DKI1 (Bunderan HI),51,17,7,40,14,SEDANG
10/30/2020,DKI1 (Bunderan HI),52,18,5,35,9,SEDANG
10/31/2020,DKI1 (Bunderan HI),35,20,3,48,8,SEDANG
11/1/2020,DKI1 (Bunderan HI),49,67,18,10,40,SEDANG
11/2/2020,DKI1 (Bunderan HI),23,27,15,3,32,BAIK
11/3/2020,DKI1 (Bunderan HI),43,64,19,6,53,SEDANG
11/4/2020,DKI1 (Bunderan HI),42,62,20,5,59,SEDANG
11/5/2020,DKI1 (Bunderan HI),51,70,17,11,50,SEDANG
11/6/2020,DKI1 (Bunderan HI),79,106,23,13,49,TIDAK SEHAT
11/7/2020,DKI1 (Bunderan HI),61,85,19,14,45,SEDANG
11/8/2020,DKI1 (Bunderan HI),60,85,16,17,57,SEDANG
11/9/2020,DKI1 (Bunderan HI),62,95,20,13,57,SEDANG
11/10/2020,DKI1 (Bunderan HI),62,92,18,8,53,SEDANG
11/11/2020,DKI1 (Bunderan HI),61,97,20,10,62,SEDANG
11/12/2020,DKI1 (Bunderan HI),53,80,20,6,49,SEDANG
11/13/2020,DKI1 (Bunderan HI),53,68,20,5,34,SEDANG
11/14/2020,DKI1 (Bunderan HI),54,78,20,7,79,SEDANG
11/15/2020,DKI1 (Bunderan HI),52,73,21,6,41,SEDANG
11/16/2020,DKI1 (Bunderan HI),51,70,20,5,42,SEDANG
11/17/2020,DKI1 (Bunderan HI),57,84,18,7,60,SEDANG
11/18/2020,DKI1 (Bunderan HI),57,79,18,9,71,SEDANG
11/19/2020,DKI1 (Bunderan HI),58,84,18,13,64,SEDANG
11/20/2020,DKI1 (Bunderan HI),53,68,20,5,34,SEDANG
11/21/2020,DKI1 (Bunderan HI),54,82,18,15,48,SEDANG
11/22/2020,DKI1 (Bunderan HI),51,69,18,15,45,SEDANG
11/23/2020,DKI1 (Bunderan HI),62,93,20,11,51,SEDANG
11/24/2020,DKI1 (Bunderan HI),44,56,19,8,53,SEDANG
11/25/2020,DKI1 (Bunderan HI),39,63,19,8,48,SEDANG
11/26/2020,DKI1 (Bunderan HI),47,69,21,9,55,SEDANG
11/27/2020,DKI1 (Bunderan HI),44,59,20,8,41,SEDANG
11/28/2020,DKI1 (Bunderan HI),46,66,18,7,65,SEDANG
11/29/2020,DKI1 (Bunderan HI),37,56,17,7,24,SEDANG
11/30/2020,DKI1 (Bunderan HI),18,21,16,4,27,BAIK
12/1/2020,DKI1 (Bunderan HI),22,17,4,19,8,BAIK
12/2/2020,DKI1 (Bunderan HI),25,18,4,28,7,BAIK
12/3/2020,DKI1 (Bunderan HI),29,19,8,48,14,BAIK
12/4/2020,DKI1 (Bunderan HI),39,29,8,52,17,SEDANG
12/5/2020,DKI1 (Bunderan HI),28,22,7,34,11,BAIK
12/6/2020,DKI1 (Bunderan HI),31,22,7,30,9,BAIK
12/7/2020,DKI1 (Bunderan HI),25,22,6,18,9,BAIK
12/8/2020,DKI1 (Bunderan HI),36,31,8,23,8,SEDANG
12/9/2020,DKI1 (Bunderan HI),32,22,5,25,8,BAIK
12/10/2020,DKI1 (Bunderan HI),32,30,4,25,7,BAIK
12/11/2020,DKI1 (Bunderan HI),32,24,9,21,12,BAIK
12/12/2020,DKI1 (Bunderan HI),23,19,6,29,10,BAIK
